timestamp,node_id,Ia,Ib,Ic,temperature,sound,fault_code
2026-05-27T06:13:21.315360,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:21.363948,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:21.406101,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:21.450961,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:21.497035,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:21.543061,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:21.588267,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:21.634339,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:21.681032,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:21.726183,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:21.772167,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:21.818052,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:21.864030,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:21.911039,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:21.956072,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:22.002005,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:22.047033,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:22.092386,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:22.138399,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:22.183363,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:22.229239,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:22.274880,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
2026-05-27T06:13:22.320382,node-a,1.5396604537963867,3.01534366607666,1.6079550981521606,25.0,95.0,1
